结点信息:
初态:    1
结点编号:   0   NUMBER       
结点编号:   1   ---          
结点编号:   2   ---          
结点编号:   3   NUMBER       
结点编号:   4   NUMBER       
结点编号:   5   NUMBER       
结点编号:   6   NUMBER       
结点编号:   7   NUMBER       
结点编号:   8   NUMBER       
结点编号:   9   NUMBER       
结点编号:  10   NUMBER       
结点编号:  11   NUMBER       
结点编号:  12   NUMBER       
结点编号:  13   NUMBER       
结点编号:  14   NUMBER       
结点编号:  15   NUMBER       
结点编号:  16   NUMBER       
结点编号:  17   NUMBER       
结点编号:  18   NUMBER       
结点编号:  19   NUMBER       
结点编号:  20   NUMBER       
结点编号:  21   NUMBER       
结点编号:  22   NUMBER       
状态转移:
(  1 ,  j ,  0)
(  1 ,  k ,  0)
(  1 ,  l ,  0)
(  1 ,  m ,  0)
(  1 ,  n ,  0)
(  1 ,  o ,  0)
(  1 ,  p ,  0)
(  1 ,  q ,  0)
(  1 ,  r ,  0)
(  1 ,  s ,  0)
(  1 ,  t ,  0)
(  1 ,  u ,  0)
(  1 ,  v ,  0)
(  1 ,  w ,  0)
(  1 ,  x ,  0)
(  1 ,  y ,  0)
(  1 ,  z ,  0)
结点信息:
初态:    1
结点编号:   0   BRACKET      
结点编号:   1   ---          
状态转移:
(  1 ,  ( ,  0)
(  1 ,  ) ,  0)
(  1 ,  [ ,  0)
(  1 ,  { ,  0)
(  1 ,  ] ,  0)
(  1 ,  } ,  0)
结点信息:
初态:    1
结点编号:   0   SEPARATOR    
结点编号:   1   ---          
状态转移:
(  1 ,  : ,  0)
(  1 ,  ; ,  0)
(  1 ,  , ,  0)
(  1 ,  ? ,  0)
结点信息:
初态:    1
结点编号:   0   DOT          
结点编号:   1   ---          
状态转移:
(  1 ,  . ,  0)
结点信息:
初态:    1
结点编号:   0   ADD          
结点编号:   1   ---          
状态转移:
(  1 ,  + ,  0)
结点信息:
初态:    1
结点编号:   0   SUB          
结点编号:   1   ---          
状态转移:
(  1 ,  - ,  0)
结点信息:
初态:    1
结点编号:   0   MUTI         
结点编号:   1   ---          
状态转移:
(  1 ,  * ,  0)
结点信息:
初态:    1
结点编号:   0   DIV          
结点编号:   1   ---          
状态转移:
(  1 ,  / ,  0)
结点信息:
初态:    1
结点编号:   0   AND          
结点编号:   1   ---          
状态转移:
(  1 ,  & ,  0)
结点信息:
初态:    1
结点编号:   0   OR           
结点编号:   1   ---          
状态转移:
(  1 ,  | ,  0)
结点信息:
初态:    1
结点编号:   0   NOT          
结点编号:   1   ---          
状态转移:
(  1 ,  ! ,  0)
结点信息:
初态:    1
